time,e1,e2,r1,r2,tau1,tau2
0.30002502,-0.07397187,0.0075534023,-0.67841727,-0.03368939,-6.505418,-1.6402937
0.30502543,-0.0755074,0.0072106756,-0.6838651,-0.03551687,-6.5346694,-1.6452672
0.31002584,-0.07703185,0.0068673454,-0.689067,-0.037264515,-6.560577,-1.648594
0.31502625,-0.07854402,0.0065238215,-0.6940207,-0.038936418,-6.5829372,-1.6502253
0.32002667,-0.080043316,0.006180495,-0.69872785,-0.04053524,-6.6016965,-1.6501448
0.32502708,-0.08152878,0.0058377236,-0.70318854,-0.04206361,-6.6168036,-1.6483408
0.3300275,-0.08299923,0.0054958425,-0.70740205,-0.043523896,-6.6282153,-1.6448061
0.33502793,-0.08445406,0.0051551834,-0.7113709,-0.044918053,-6.635906,-1.6395363
0.34002835,-0.08589244,0.004816018,-0.71509665,-0.046248205,-6.6398554,-1.6325308
0.34502876,-0.08731353,0.004478641,-0.7185811,-0.04751586,-6.640177,-1.6238257
0.35002917,-0.08871651,0.00414332,-0.7218256,-0.048723288,-6.63674,-1.6133968
0.35502958,-0.090100646,0.0038103089,-0.724833,-0.0498716,-6.629554,-1.6012535
0.36003,-0.091465116,0.0034798458,-0.72760576,-0.050961517,-6.618642,-1.5874132
0.3650304,-0.09280956,0.003152147,-0.7301487,-0.051993713,-6.604038,-1.5718948
0.37003085,-0.09413302,0.002827458,-0.73246366,-0.05296845,-6.585779,-1.5547206
0.37503126,-0.09543502,0.002505958,-0.73455524,-0.053886056,-6.5639205,-1.5359186
0.38003168,-0.09671497,0.002187863,-0.73642737,-0.054746374,-6.5386343,-1.5155481
0.3850321,-0.097972274,0.0018733814,-0.7380833,-0.055549853,-6.5098634,-1.4936115
0.3900325,-0.09920645,0.0015626997,-0.7395277,-0.056295916,-6.4776826,-1.4701444
0.3950329,-0.10041702,0.001256004,-0.7407651,-0.056983635,-6.442178,-1.445187
0.40003332,-0.10160351,0.00095350295,-0.74179995,-0.057611816,-6.4034376,-1.4187807
0.40503377,-0.10276556,0.0006553903,-0.74263746,-0.058179192,-6.361558,-1.3909687
0.41003418,-0.10390282,0.00036183,-0.7432825,-0.05868441,-6.3166447,-1.3618006
