time,e1,e2,em1,em2,r1,r2,rm1,rm2,tau1,tau2,taum1,taum2
0.16001333,-0.041936994,0.037383378,0.105246425,0.18456689,-0.5101756,0.30884323,-0.4630289,0.35599,-3.2982323,-0.48127326,-2.7419386,0.05956781
0.16501375,-0.044060826,0.03856903,-0.12931597,-0.046686165,-0.5189409,0.30225018,-0.5996531,0.22153787,-3.316709,-0.48993257,-3.6210885,-0.75167394
0.17001417,-0.04620731,0.039709844,-0.12623715,-0.04031995,-0.5274792,0.2953155,-0.6411717,0.1816231,-3.3345852,-0.4990233,-3.7435408,-0.8293033
0.17501459,-0.04837501,0.040804554,-0.060747147,0.028432362,-0.5358054,0.28808716,-0.5410336,0.2828588,-3.3518364,-0.5084722,-3.3211055,-0.50164783
0.180015,-0.05056262,0.04185216,-0.08204436,0.010370439,-0.543934,0.28061086,-0.7301353,0.094409555,-3.3684392,-0.5182064,-3.000198,-0.15432334
0.18501543,-0.052769065,0.042851888,0.043692112,0.13931309,-0.55187875,0.27293026,-0.24156201,0.58324707,-3.384369,-0.5281545,-3.5480216,-0.6747882
0.19001584,-0.05499327,0.0438032,-0.049932957,0.048863553,-0.5596527,0.26508686,-0.47190416,0.35283542,-3.3995993,-0.53824437,-3.8984642,-1.0849092
0.19501625,-0.05723405,0.044705756,-0.0032886267,0.098651215,-0.56726754,0.2571199,-0.41802606,0.4063614,-3.414105,-0.5484072,-3.411719,-0.4903062
0.20001666,-0.059490442,0.04555943,-0.01705873,0.08799119,-0.57473457,0.24906641,-0.61926055,0.20454054,-3.4278579,-0.5585736,-3.256306,-0.43749058
0.20501709,-0.061761737,0.046364285,-0.05436921,0.05375675,-0.58206457,0.2409613,-0.46849656,0.3545292,-3.4408321,-0.56867707,-3.6818027,-0.7562845
0.2100175,-0.06404686,0.047120538,0.092729926,0.20389731,-0.5892669,0.23283708,-0.09883964,0.72326434,-3.4530005,-0.5786532,-2.7122025,0.13020325
0.21501791,-0.066345215,0.047828585,-0.24061215,-0.12643829,-0.59635067,0.22472422,-0.91149366,-0.09041868,-3.464335,-0.5884384,-3.4093971,-0.48842034
0.22001834,-0.06865597,0.048488967,-0.108805895,0.008339062,-0.6033238,0.21665101,-0.8673543,-0.047379404,-3.4748073,-0.5979712,-3.3745978,-0.5074832
