time,e1,e2,r1,r2,tau1,tau2
0.33502793,-0.07237911,-0.023293816,-0.6261585,-0.28327063,-6.4333596,-1.4694998
0.34002835,-0.073693275,-0.024113521,-0.63194454,-0.2817558,-6.4494305,-1.464289
0.34502876,-0.075003624,-0.024905197,-0.63753575,-0.28003415,-6.462328,-1.4574139
0.35002917,-0.076309085,-0.02566851,-0.6429244,-0.278124,-6.4709215,-1.4485824
0.35502958,-0.07760894,-0.026403226,-0.6481103,-0.27603662,-6.4761953,-1.4381003
0.36003,-0.078902125,-0.027109176,-0.65308726,-0.27378774,-6.4771905,-1.4257433
0.3650304,-0.080188036,-0.027786277,-0.6578571,-0.2713858,-6.4747906,-1.4117703
0.37003085,-0.0814656,-0.028434463,-0.66241544,-0.26884395,-6.4681835,-1.3960109
0.37503126,-0.08273411,-0.029053792,-0.6667645,-0.26616865,-6.458165,-1.3786881
0.38003168,-0.0839926,-0.02964431,-0.6709018,-0.2633705,-6.4440503,-1.3596737
0.3850321,-0.085240245,-0.030206114,-0.6748298,-0.26045346,-6.426564,-1.3391622
0.3900325,-0.086476445,-0.030739322,-0.67854893,-0.25742626,-6.40513,-1.3170592
0.3950329,-0.08770037,-0.031244114,-0.68206227,-0.254291,-6.380412,-1.2935371
0.40003332,-0.088911295,-0.031720646,-0.68537045,-0.2510544,-6.351926,-1.2685282
0.40503377,-0.090108514,-0.032169126,-0.68847764,-0.24771714,-6.320284,-1.2421882
0.41003418,-0.09129143,-0.03258977,-0.69138557,-0.24428424,-6.285082,-1.2144709
0.4150346,-0.0924592,-0.032982767,-0.694098,-0.24075493,-6.2468863,-1.1855168
0.420035,-0.09361136,-0.033348344,-0.6966178,-0.23713264,-6.20536,-1.1552958
0.42503542,-0.094747424,-0.033686712,-0.6989504,-0.23341568,-6.1610312,-1.1239388
0.43003583,-0.09586668,-0.033998087,-0.7010977,-0.22960629,-6.1136203,-1.0914284
0.43503624,-0.09696877,-0.034282677,-0.7030658,-0.22570196,-6.0636163,-1.0578846
0.44003668,-0.0980531,-0.034540653,-0.70485705,-0.22170353,-6.0107894,-1.0233002
0.4450371,-0.099119425,-0.034772262,-0.7064779,-0.21760826,-5.955595,-0.98778754
0.4500375,-0.100167155,-0.034977652,-0.7079307,-0.21341616,-5.8978496,-0.9513477
0.45503792,-0.10119605,-0.035157003,-0.7092215,-0.20912385,-5.8379707,-0.9140848
0.46003833,-0.102205634,-0.035310447,-0.71035314,-0.20473057,-5.775811,-0.8760054
0.46503875,-0.10319567,-0.035438135,-0.7113311,-0.2002327,-5.7117624,-0.83720744
0.47003916,-0.10416591,-0.03554021,-0.7121592,-0.19562922,-5.6457033,-0.7977015
0.4750396,-0.10511601,-0.03561674,-0.71284187,-0.19091605,-5.5779963,-0.7575781
0.48004,-0.10604572,-0.035667866,-0.7133825,-0.18609193,-5.5085464,-0.71685207
0.48504043,-0.10695493,-0.03569366,-0.71378624,-0.18115295,-5.4376884,-0.67560756
0.49004084,-0.10784352,-0.035694137,-0.7140566,-0.17609711,-5.365351,-0.63386023
0.49504125,-0.10871136,-0.035669416,-0.7141981,-0.170921,-5.2918386,-0.5916892
0.50004166,-0.109558105,-0.035619453,-0.7142128,-0.16562243,-5.217094,-0.54911107
0.5050421,-0.11038387,-0.035544306,-0.7141056,-0.16019788,-5.141401,-0.50619805
0.5100425,-0.11118841,-0.03544399,-0.71387863,-0.15464553,-5.0647163,-0.4629685
0.5150429,-0.111971736,-0.035318464,-0.7135359,-0.14896187,-4.987294,-0.4194879
0.5200433,-0.11273384,-0.035167724,-0.7130801,-0.14314517,-4.9091086,-0.37577498
0.5250437,-0.11347473,-0.03499171,-0.7125145,-0.13719222,-4.8303876,-0.33188844
0.5300442,-0.114194155,-0.034790367,-0.7118403,-0.13110128,-4.751108,-0.28784588
0.5350446,-0.11489236,-0.03456369,-0.71106136,-0.12486991,-4.6714854,-0.24370354
0.540045,-0.115569234,-0.034311593,-0.71017885,-0.1184966,-4.5914974,-0.1994759
0.54504544,-0.11622465,-0.034033984,-0.7091943,-0.11197886,-4.5113344,-0.1552128
0.55004585,-0.11685896,-0.033730775,-0.7081109,-0.10531542,-4.4309835,-0.1109274
0.55504626,-0.11747193,-0.033401906,-0.7069292,-0.0985046,-4.3506145,-0.066664636
0.5600467,-0.11806369,-0.033047244,-0.70565045,-0.09154533,-4.270216,-0.02243632
0.5650471,-0.11863434,-0.032666728,-0.70427644,-0.08443628,-4.189939,0.02171804
0.5700475,-0.1191839,-0.03226024,-0.70280766,-0.07717687,-4.109771,0.06578943
0.5750479,-0.11971235,-0.031827673,-0.7012447,-0.06976615,-4.0298457,0.1097437
0.5800483,-0.12021983,-0.03136894,-0.6995882,-0.062204152,-3.950151,0.15357257
0.58504874,-0.12070644,-0.030883908,-0.697839,-0.05449021,-3.8708055,0.19724798
0.59004915,-0.12117195,-0.030372515,-0.69599557,-0.046624914,-3.7917933,0.24076316
0.59504956,-0.12161684,-0.029834628,-0.6940601,-0.038608134,-3.7132163,0.2840959
0.60005003,-0.12204099,-0.029270142,-0.69203126,-0.030440599,-3.6350598,0.32724297
0.60505044,-0.12244439,-0.028679028,-0.6899086,-0.022123352,-3.557408,0.37018418
0.61005086,-0.12282705,-0.028061181,-0.6876911,-0.0136576,-3.4802418,0.41291928
0.61505127,-0.12318909,-0.027416497,-0.6853785,-0.0050443113,-3.4036345,0.45543408
0.6200517,-0.12353063,-0.026744962,-0.68297017,0.0037143826,-3.3275647,0.49773052
0.6250521,-0.12385154,-0.02604647,-0.68046427,0.0126169175,-3.252087,0.53979903
0.6300525,-0.124151945,-0.025320977,-0.6778601,0.021660954,-3.1771793,0.5816447
0.6350529,-0.12443185,-0.024568483,-0.6751561,0.030843928,-3.1028845,0.6232609
0.64005333,-0.12469125,-0.023788944,-0.67235065,0.040163085,-3.029174,0.6646561
0.64505374,-0.12493026,-0.022982389,-0.6694429,0.049615234,-2.9560797,0.70582825
0.65005416,-0.12514877,-0.022148803,-0.6664302,0.059197053,-2.8835685,0.74678785
0.65505457,-0.12534678,-0.021288186,-0.6633109,0.068905026,-2.8116612,0.78753716
0.660055,-0.12552428,-0.020400643,-0.66008306,0.078734815,-2.7403212,0.828089
0.6650554,-0.12568116,-0.019486219,-0.65674424,0.088682264,-2.6695552,0.8684502
0.67005587,-0.12581754,-0.018544942,-0.65329295,0.09874317,-2.599325,0.90863705
0.6750563,-0.12593329,-0.017576993,-0.64972675,0.10891199,-2.529628,0.94865805
0.6800567,-0.1260283,-0.01658246,-0.6460428,0.11918381,-2.4604182,0.98853207
0.6850571,-0.12610257,-0.015561521,-0.6422392,0.12955314,-2.3916845,1.0282731
0.6900575,-0.12615585,-0.014514297,-0.6383128,0.14001426,-2.3233757,1.067902
0.6950579,-0.1261884,-0.013441056,-0.6342626,0.15056083,-2.2554734,1.1074351
0.70005834,-0.12619984,-0.012341976,-0.6300849,0.16118658,-2.1879206,1.1468966
0.70505875,-0.12619019,-0.011217326,-0.6257776,0.17188475,-2.1206896,1.1863058
0.71005917,-0.12615931,-0.010067344,-0.62133825,0.18264842,-2.053721,1.2256894
0.7150596,-0.1261071,-0.008892417,-0.6167643,0.19347,-1.9869797,1.2650685
0.72006,-0.12603319,-0.007692814,-0.61205214,0.20434219,-1.9203995,1.3044724
0.7250604,-0.1259377,-0.006468922,-0.6072006,0.21525708,-1.8539374,1.3439273
0.7300608,-0.12582028,-0.0052210987,-0.6022061,0.22620657,-1.7875266,1.3834618
0.7350612,-0.12568104,-0.003949791,-0.5970678,0.23718223,-1.7211187,1.4231046
0.7400617,-0.1255194,-0.0026554465,-0.5917809,0.24817526,-1.6546376,1.4628872
0.7450621,-0.12533557,-0.0013386011,-0.5863454,0.25917655,-1.5880321,1.5028389
0.7500625,-0.12512922,2.3841858e-07,-0.58075804,0.27017695,-1.5212247,1.5429937
0.75506294,-0.1249001,0.0013605356,-0.5750165,0.2811672,-1.4541583,1.5833828
