time,e1,e2,em1,em2,r1,r2,rm1,rm2,tau1,tau2,taum1,taum2
0.0,0.0,0.0,-0.22408938,-0.22408932,3.021695e-17,6.04339e-17,-0.7283125,-0.7283124,-2.4639032,-0.78254324,-2.6275952,-0.93543184
0.0050004167,7.748604e-06,1.5505671e-05,0.14544427,0.14545208,-0.02539845,0.03358482,0.25627497,0.32572234,-2.4967961,-0.75110525,-2.3982248,-0.6972224
0.010000833,-0.00026583672,0.0003761836,-0.07801485,-0.07737286,-0.050402,0.06562998,0.028718263,0.17566366,-2.5290236,-0.7205734,-2.233528,-0.37597772
0.01500125,-0.0008250475,0.0010956882,-0.0060195923,-0.0040988512,-0.07498882,0.09610896,-0.20151532,-0.0022606961,-2.5605772,-0.69102764,-2.1523097,-0.30706888
0.020001667,-0.0016310215,0.002064268,-0.1238755,-0.120180234,-0.09905072,0.12474825,-0.38148975,-0.12904334,-2.591329,-0.66273755,-3.2350693,-1.2452404
0.025002083,-0.0026767254,0.0032716466,-0.19368327,-0.18773486,-0.12256334,0.15152271,-0.4729833,-0.16300152,-2.6212769,-0.63578665,-3.0790644,-1.0051569
0.0300025,-0.003961563,0.004718373,-0.07160485,-0.06292496,-0.14551827,0.1764361,-0.3730895,-0.026193857,-2.6504154,-0.6102293,-2.8890543,-0.79076266
0.035002917,-0.005451679,0.006313593,0.10254145,0.11430675,-0.16784169,0.19931196,0.21303087,0.61038053,-2.67866,-0.5862609,-2.4320502,-0.374098
0.040003333,-0.007157922,0.008093766,-0.008905888,0.0063458504,-0.18956515,0.22026753,-0.14723966,0.29416046,-2.706056,-0.56384695,-2.0117843,0.11414063
0.04500375,-0.009063125,0.010023553,0.014874816,0.03396147,-0.21065858,0.23926255,-0.3343582,0.14512283,-2.7325861,-0.54308075,-2.6823902,-0.4102555
0.050004166,-0.011153221,0.012066945,-0.059301376,-0.036081202,-0.23110487,0.25627148,-0.09998326,0.40521497,-2.7582195,-0.5240326,-2.353365,-0.17846102
0.055004586,-0.013406992,0.014164537,0.1541934,0.18176492,-0.25087872,0.271237,-0.095508695,0.4589995,-2.7829077,-0.5067916,-2.752864,-0.39959005
0.060005,-0.01584506,0.016395343,-0.02468729,0.007553135,-0.2700481,0.28440207,-0.24389671,0.32576996,-2.8067544,-0.4912241,-2.766593,-0.4716733
0.065005414,-0.018420815,0.01861729,-0.14860547,-0.111567326,-0.28853363,0.29553482,-0.4646533,0.16347294,-2.8296115,-0.47753882,-3.2796001,-0.84984046
0.070005834,-0.021181226,0.02098358,-0.1289556,-0.08679081,-0.3064657,0.3050506,-0.3658353,0.30189157,-2.8516483,-0.46545804,-2.873258,-0.39453787
0.075006254,-0.024095654,0.023413159,0.0942924,0.14180122,-0.32379404,0.31283236,0.3036224,0.9782022,-2.8727775,-0.45510623,-3.7331939,-1.1807362
0.08000667,-0.027117372,0.025772836,0.025001526,0.07789177,-0.3404496,0.31869167,0.035072725,0.72031534,-2.8928728,-0.4466484,-3.2011886,-0.6463088
0.08500709,-0.030245185,0.028069083,0.12681723,0.18513142,-0.35647526,0.3227707,-0.013959885,0.68155706,-2.9119635,-0.439991,-2.6513329,-0.1440494
0.0900075,-0.03347361,0.030292846,-0.11872876,-0.054962344,-0.37190276,0.32517385,-0.45696408,0.26389676,-2.9300551,-0.4350607,-3.306392,-0.71524227
0.09500792,-0.036815643,0.03249438,-0.09503806,-0.025728077,-0.38680047,0.3261233,-0.19152626,0.5379074,-2.947202,-0.43169105,-2.0346227,0.48613942
0.10000833,-0.04024589,0.034603592,-0.059675217,0.015174296,-0.40115026,0.32557583,-0.57146746,0.1620126,-2.9633322,-0.42990708,-2.6974137,-0.20076573
0.10500875,-0.04375446,0.036597513,-0.28499985,-0.20464787,-0.41497493,0.32360697,-0.7583759,0.0065658092,-2.978424,-0.42963436,-2.8364148,-0.24296176
0.11000917,-0.04737091,0.038574625,-0.10268414,-0.016738582,-0.42837793,0.32053915,-0.534229,0.23071793,-2.992564,-0.4306101,-4.1709814,-1.3978926
0.11500958,-0.051049948,0.04041366,-0.18119276,-0.089729145,-0.44129503,0.31621042,-0.835947,-0.06970567,-3.00563,-0.43293422,-3.2749991,-0.6305083
0.12001,-0.0547899,0.042115457,-0.09493983,0.0019655535,-0.45376796,0.31074834,-0.7123399,0.038183905,-3.0176141,-0.43647063,-2.9397795,-0.36775905
0.12501042,-0.058567524,0.043611955,-0.03180802,0.070371434,-0.4657925,0.304136,-0.3071953,0.45688215,-3.0284386,-0.44117823,-3.3760645,-0.65414625
0.13001083,-0.06241548,0.045012027,-0.026029587,0.081397906,-0.477485,0.2967313,-0.28176862,0.4920902,-3.038194,-0.44674012,-2.6167543,-0.06319153
0.13501126,-0.06632519,0.046300527,-0.044651985,0.06797367,-0.48885882,0.28859335,-0.30372277,0.4727542,-3.0468411,-0.45306212,-2.8325624,-0.28989232
0.14001167,-0.07028484,0.047449023,0.08041489,0.19814886,-0.4999218,0.27975583,-0.29307592,0.4663243,-3.054322,-0.46005836,-2.7622192,-0.16141188
0.14501208,-0.07426798,0.048382346,-0.21102774,-0.08837738,-0.5106551,0.27016532,-0.93400884,-0.16689041,-3.0605388,-0.46769422,-2.9214087,-0.35761037
0.15001251,-0.078302026,0.04919551,-0.08809161,0.039405894,-0.52115756,0.26013285,-0.47047114,0.3064229,-3.065559,-0.47567442,-3.0900917,-0.51351005
0.15501292,-0.08238709,0.049896687,0.2010684,0.33335215,-0.53145546,0.24975084,-0.27618164,0.48891747,-3.069347,-0.48386258,-3.0216851,-0.51201093
0.16001333,-0.08649433,0.050405208,-0.082984805,0.053914726,-0.54151434,0.23892593,-0.71950245,0.04947193,-3.0717883,-0.49224645,-3.3403406,-0.68863964
0.16501375,-0.09064102,0.050782464,-0.14936697,-0.007943474,-0.55140316,0.22787656,-0.58593655,0.17226915,-3.0729055,-0.50059235,-2.5490096,0.041080356
